aktinium;Ac
dichroman dicesný;
heptaoxodichroman cesný;
heptaoxodichroman dicesný;
dichroman draselný;K2Cr2O7
dichroman didraselný;
heptaoxodichroman draselný;
heptaoxodichroman didraselný;
dichroman rubidný;Rb2Cr2O7
dichroman dirubidný;
heptaoxodichroman rubidný;
heptaoxodichroman dirubidný;
dichroman sodný;Na2Cr2O7
dichroman disodný;
heptaoxodichroman sodný;
heptaoxodichroman disodný;
dichroman stříbrný;Ag2Cr2O7
dichroman distříbrný;
heptaoxodichroman stříbrný;
heptaoxodichroman distříbrný;
dikarbid ceru;CeC2
dikarbid heptachromu;Cr7C2
dikarbid lanthanu;LaC2
dikarbid neodymu;NdC2
dikarbid praseodymu;PrC2
dikarbid samaria;SmC2
dikarbid selenu;SeC2
dikarbid thoria;ThC2
dikarbid trichromu;Cr3C2
dikarbid uranu;UC2
dikřemičitan draselný;K2Si2O5
dikřemičitan didraselný;
pentaoxodikřemičitan draselný;
pentaoxodikřemičitan didraselný;
dikyan;C2N2
oxalonitril;
dikyanostříbrnan draselný;K[Ag(CN)2]
dikyanozlatnatan amonný;NH4[Au(CN)2]
dikyanozlatnatan draselný;K[Au(CN)2]
dimolybdenan amonný;(NH4)2Mo2O7
dimolybdenan diamonný;
heptaoxodimolybdenan amonný;
heptaoxodimolybdenan diamonný;
dimolybdenan draselný;K2Mo2O7
dimolybdenan didraselný;
heptaoxodimolybdenan draselný;
heptaoxodimolybdenan didraselný;
dimolybdenan sodný;Na2Mo2O7
dimolybdenan disodný;
heptaoxodimolybdenan sodný;
heptaoxodimolybdenan disodný;
dinitrid trimanganu;Mn3N2
dinitrostříbrnan sodný;Na[Ag(NO2)2]
dioxid terbia;TbO2
disilicid chromu;CrSi2
disilicid kobaltu;CoSi2
disilicid manganu;MnSi2
disilicid molybdenu;MoSi2
disilicid niobu;NbSi2
disilicid plutonia;PuSi2
disilicid tantalu;TaSi2
disilicid thoria;ThSi2
disilicid titanu;TiSi2
disilicid vanadu;VSi2
disilicid vápníku;CaSi2
disilicid wolframu;WSi2
disilicid zirkonia;ZrSi2
disíran draselný;K2S2O7
disíran didraselný;
heptaoxodisíran draselný;
heptaoxodisíran didraselný;
disíran sodný;Na2S2O7
disíran disodný;
heptaoxodisíran sodný;
heptaoxodisíran disodný;
disiřičitan draselný;K2S2O5
disiřičitan didraselný;
pentaoxodisiřičitan draselný;
pentaoxodisiřičitan didraselný;
disulfid didraselný;K2S2
disulfid kobaltu;CoS2
disulfid niklu;NiS2
disulfid niobu;NbS2
disulfid tantalu;TaS2
disulfid triniklu;Ni3S2
disulfid uranu;US2
disulfid železa;FeS2
ditellurid niobu;NbTe2
ditellurid tantalu;TaTe2
dithiochromitan draselný;KCrS2
dithiochromitan sodný;NaCrS2
dithionan cesný;Cs2S2O6
dithionan draselný;K2S2O6
dithionan manganatý;MnS2O6
dithionan rubidný;Rb2S2O6
dithionan thallný;Tl2S2O6
dithioničitan sodný;Na2S2O4
dititaničitan draselný;K2Ti2O5
dititaničitan didraselný;
pentaoxodititaničitan draselný;
pentaoxodititaničitan didraselný;
dititaničitan sodný;Na2Ti2O5
dititaničitan disodný;
pentaoxodititaničitan sodný;
pentaoxodititaničitan disodný;
divanadičnan sodný;NaV2O7
heptaoxodivanadičnan sodný;
divanadičnan thallný;TlV2O7
heptaoxodivanadičnan thallný;
dodekahydrát antimoničnanu hořečnatého;Mg(SbO3)2.12H2O
dodekahydrát trioxoantimoničnanu hořečnatého;
bis(antimoničnan) hořečnatý dodekahydrát;
dodekahydrát arseničnanu trisodného;Na3AsO4.12H2O
dodekahydrát tetraoxoarseničnanu sodného;
dodekahydrát tetraoxoarseničnanu trisodného;
dodekahydrát dusičnanu thoričitého;Th(NO3)4.12H2O
dodekahydrát trioxodusičnanu thoričitého;
tetrakis(dusičnan) thoričitý dodekahydrát;
dodekakarbonyltetrakobalt;Co4(CO)12
draslík;K
dubnium;Db
dusičnan amonný;NH4NO3
trioxodusičnan amonný;
dusičnan barnatý;Ba(NO3)2
trioxodusičnan barnatý;
bis(dusičnan) barnatý;
dusičnan bismutitý;Bi(NO3)3
trioxodusičnan bismutitý;
tris(dusičnan) bismutitý;
dusičnan cesný;CsNO3
trioxodusičnan cesný;
dusičnan cíničitý;Sn(NO3)4
trioxodusičnan cíničitý;
tetrakis(dusičnan) cíničitý;
dusičnan draselný;KNO3
