aktinium;Ac
bis(bromičnan) olovnatý monohydrát;
monohydrát bromidu ceritého;CeBr3.H2O
monohydrát dihydrogenarseničnanu sodného;NaH2AsO4.H2O
monohydrát dihydrogentetraoxoarseničnanu sodného;
monohydrát dihydrogenfosforečnanu sodného;NaH2PO4.H2O
monohydrát dihydrogentetraoxofosforečnanu sodného;
monohydrát dihydrogenfosforečnanu vápenatého;Ca(H2PO4)2.H2O
monohydrát dihydrogentetraoxofosforečnanu vápenatého;
bis(dihydrogenfosforečnan) vápenatý monohydrát;
monohydrát dusičnanu barnatého;Ba(NO3)2.H2O
monohydrát trioxodusičnanu barnatého;
bis(dusičnan) barnatý monohydrát;
monohydrát dusičnanu rtuťnatého;Hg(NO3)2.H2O
monohydrát trioxodusičnanu rtuťnatého;
bis(dusičnan) rtuťnatý monohydrát;
monohydrát fluoridu ceričitého;CeF4.H2O
monohydrát fosforečnanu manganitého;MnPO4.H2O
monohydrát tetraoxofosforečnanu manganitého;
monohydrát hydrogenfosforitanu manganitého;Mn2(HPO3)3.H2O
monohydrát hydrogenfosforitanu dimanganitého;
monohydrát hydrogentrioxofosforitanu manganitého;
monohydrát hydrogentrioxofosforitanu dimanganitého;
tris(hydrogenfosforitan) manganitý monohydrát;
tris(hydrogenfosforitan) dimanganitý monohydrát;
monohydrát chlorečnanu barnatého;Ba(ClO3)2.H2O
monohydrát trioxochlorečnanu barnatého;
bis(chlorečnan) barnatý monohydrát;
monohydrát chlorečnanu olovnatého;Pb(ClO3)2.H2O
monohydrát trioxochlorečnanu olovnatého;
bis(chlorečnan) olovnatý monohydrát;
monohydrát chloridu sodného;NaCl.H2O
monohydrát chloridu thallitého;TlCl3.H2O
monohydrát jodičnanu barnatého;Ba(IO3)2.H2O
monohydrát trioxojodičnanu barnatého;
bis(jodičnan) barnatý monohydrát;
monohydrát jodičnanu měďnatého;Cu(IO3)2.H2O
monohydrát trioxojodičnanu měďnatého;
bis(jodičnan) měďnatý monohydrát;
monohydrát jodičnanu sodného;NaIO3.H2O
monohydrát trioxojodičnanu sodného;
monohydrát selenanu lithného;Li2SeO4.H2O
monohydrát selenanu dilithného;
monohydrát tetraoxoselenanu lithného;
monohydrát tetraoxoselenanu dilithného;
monohydrát síranu hořečnatého;MgSO4.H2O
monohydrát tetraoxosíranu hořečnatého;
monohydrát síranu kademnatého;CdSO4.H2O
monohydrát tetraoxosíranu kademnatého;
monohydrát síranu kobaltnatého;CoSO4.H2O
monohydrát tetraoxosíranu kobaltnatého;
monohydrát síranu lithného;Li2SO4.H2O
monohydrát síranu dilithného;
monohydrát tetraoxosíranu lithného;
monohydrát tetraoxosíranu dilithného;
monohydrát síranu manganatého;MnSO4.H2O
monohydrát tetraoxosíranu manganatého;
monohydrát síranu měďnatého;CuSO4.H2O
monohydrát tetraoxosíranu měďnatého;
monohydrát síranu nikelnatého;NiSO4.H2O
monohydrát tetraoxosíranu nikelnatého;
monohydrát síranu zinečnatého;ZnSO4.H2O
monohydrát tetraoxosíranu zinečnatého;
monohydrát síranu železnatého;FeSO4.H2O
monohydrát tetraoxosíranu železnatého;
monohydrát siřičitanu měďnatého;CuSO3.H2O
monohydrát trioxosiřičitanu měďnatého;
monohydrát uhličitanu amonného;(NH4)2CO3.H2O
monohydrát uhličitanu diamonného;
monohydrát trioxouhličitanu amonného;
monohydrát trioxouhličitanu diamonného;
monohydrát uhličitanu sodného;Na2CO3.H2O
monohydrát uhličitanu disodného;
monohydrát trioxouhličitanu sodného;
monohydrát trioxouhličitanu disodného;
neodym;Nd
neon;Ne
neptunium;Np
nikl;Ni
niob;Nb
niobičnan antimonitý;SbNbO4
tetraoxoniobičnan antimonitý;
niobičnan ceritý;CeNbO4
tetraoxoniobičnan ceritý;
niobičnan dysprositý;DyNbO4
tetraoxoniobičnan dysprositý;
niobičnan erbitý;ErNbO4
tetraoxoniobičnan erbitý;
niobičnan europitý;EuNbO4
tetraoxoniobičnan europitý;
niobičnan gadolinitý;GdNbO4
tetraoxoniobičnan gadolinitý;
niobičnan hlinitý;AlNbO4
tetraoxoniobičnan hlinitý;
niobičnan holmitý;HoNbO4
tetraoxoniobičnan holmitý;
niobičnan lanthanitý;LaNbO4
tetraoxoniobičnan lanthanitý;
niobičnan lutecitý;LuNbO4
tetraoxoniobičnan lutecitý;
niobičnan neodymitý;NdNbO4
tetraoxoniobičnan neodymitý;
niobičnan praseodymitý;PrNbO4
tetraoxoniobičnan praseodymitý;
niobičnan samaritý;SmNbO4
tetraoxoniobičnan samaritý;
niobičnan skanditý;ScNbO4
tetraoxoniobičnan skanditý;
niobičnan terbitý;TbNbO4
tetraoxoniobičnan terbitý;
niobičnan thulitý;TmNbO4
tetraoxoniobičnan thulitý;
niobičnan ytterbitý;YbNbO4
tetraoxoniobičnan ytterbitý;
niobičnan yttritý;YNbO4
tetraoxoniobičnan yttritý;
nitrid americitý;AmN
nitrid barnatý;Ba3N2
nitrid beryllnatý;Be3N2
nitrid boritý;BN
nitrid ceritý;CeN
nitrid dichromu;Cr2N
nitrid dimanganu;Mn2N
nitrid ditantalu;Ta2N
nitrid diželeza;Fe2N
nitrid europitý;EuN
nitrid gadolinitý;GdN
nitrid hafnia;HfN
nitrid hlinitý;AlN
nitrid hořečnatý;Mg3N2
nitrid chromitý;CrN
nitrid chromu;
nitrid kademnatý;Cd3N2
nitrid lanthanitý;LaN
nitrid lithný;Li3N
nitrid měďný;Cu3N
nitrid neodymitý;NdN
nitrid neptunitý;NpN
nitrid niobitý;NbN
nitrid niobu;
nitrid plutonitý;PuN
nitrid praseodymitý;PrN
nitrid rtuťnatý;Hg3N2
nitrid samaritý;SmN
nitrid skanditý;ScN
nitrid stříbrný;Ag3N
nitrid tantalu;TaN
nitrid tetramanganu;Mn4N
nitrid thoria;ThN
nitrid titanu;TiN
nitrid uranitý;UN
nitrid uranu;
nitrid vanaditý;VN
nitrid vanadu;
nitrid vápenatý;Ca3N2
nitrid yttritý;YN
nitrid zinečnatý;Zn3N2
nitrid zirkonia;ZrN
nobelium;No
nonahydrát bromičnanu ceritého;Ce(BrO3)3.9H2O
nonahydrát trioxobromičnanu ceritého;
tris(bromičnan) ceritý nonahydrát;
nonahydrát bromičnanu dysprositého;Dy(BrO3)3.9H2O
nonahydrát trioxobromičnanu dysprositého;
tris(bromičnan) dysprositý nonahydrát;
nonahydrát bromičnanu lanthanitého;La(BrO3)3.9H2O
nonahydrát trioxobromičnanu lanthanitého;
tris(bromičnan) lanthanitý nonahydrát;
nonahydrát bromičnanu neodymitého;Nd(BrO3)3.9H2O
nonahydrát trioxobromičnanu neodymitého;
tris(bromičnan) neodymitý nonahydrát;
nonahydrát bromičnanu praseodymitého;Pr(BrO3)3.9H2O
nonahydrát trioxobromičnanu praseodymitého;
tris(bromičnan) praseodymitý nonahydrát;
nonahydrát bromičnanu samaritého;Sm(BrO3)3.9H2O
nonahydrát trioxobromičnanu samaritého;
tris(bromičnan) samaritý nonahydrát;
nonahydrát bromičnanu yttritého;Y(BrO3)3.9H2O
nonahydrát trioxobromičnanu yttritého;
tris(bromičnan) yttritý nonahydrát;
nonahydrát bromidu erbitého;ErBr3.9H2O
nonahydrát bromidu yttritého;YBr3.9H2O
nonahydrát difosforečnanu tetraželezitého;Fe4(P2O7)3.9H2O
nonahydrát heptaoxodifosforečnanu železitého;
nonahydrát heptaoxodifosforečnanu tetraželezitého;
tris(difosforečnan) tetraželezitý nonahydrát;
nonahydrát dusičnanu hlinitého;Al(NO3)3.9H2O
nonahydrát trioxodusičnanu hlinitého;
tris(dusičnan) hlinitý nonahydrát;
nonahydrát dusičnanu železitého;Fe(NO3)3.9H2O
nonahydrát trioxodusičnanu železitého;
tris(dusičnan) železitý nonahydrát;
nonahydrát chloristanu hlinitého;Al(ClO4)3.9H2O
nonahydrát tetraoxochloristanu hlinitého;
tris(chloristan) hlinitý nonahydrát;
nonahydrát jodidu ceritého;CeI3.9H2O
nonahydrát selenanu thoričitého;Th(SeO4)2.9H2O
nonahydrát tetraoxoselenanu thoričitého;
bis(selenan) thoričitý nonahydrát;
nonahydrát síranu ceritého;Ce2(SO4)3.9H2O
nonahydrát síranu diceritého;
nonahydrát tetraoxosíranu ceritého;
nonahydrát tetraoxosíranu diceritého;
tris(síran) ceritý nonahydrát;
tris(síran) diceritý nonahydrát;
nonahydrát síranu lanthanitého;La2(SO4)3.9H2O
nonahydrát síranu dilanthanitého;
nonahydrát tetraoxosíranu lanthanitého;
nonahydrát tetraoxosíranu dilanthanitého;
tris(síran) lanthanitý nonahydrát;
tris(síran) dilanthanitý nonahydrát;
nonahydrát síranu uraničitého;U(SO4)2.9H2O
nonahydrát tetraoxosíranu uraničitého;
bis(síran) uraničitý nonahydrát;
nonahydrát síranu železitého;Fe2(SO4)3.9H2O
nonahydrát síranu diželezitého;
nonahydrát tetraoxosíranu železitého;
nonahydrát tetraoxosíranu diželezitého;
tris(síran) železitý nonahydrát;
tris(síran) diželezitý nonahydrát;
nonahydrát sulfidu sodného;Na2S.9H2O
nonakarbonyl diželeza;Fe2(CO)9
oktahydrát arseničnanu trikobaltnatého;Co3(AsO4)2.8H2O
oktahydrát tetraoxoarseničnanu kobaltnatého;
oktahydrát tetraoxoarseničnanu trikobaltnatého;
bis(arseničnan) trikobaltnatý oktahydrát;
oktahydrát arseničnanu trizinečnatého;Zn3(AsO4)2.8H2O
oktahydrát tetraoxoarseničnanu zinečnatého;
oktahydrát tetraoxoarseničnanu trizinečnatého;
bis(arseničnan) trizinečnatý oktahydrát;
oktahydrát fosforečnanu trihořečnatého;Mg3(PO4)2.8H2O
oktahydrát tetraoxofosforečnanu hořečnatého;
oktahydrát tetraoxofosforečnanu trihořečnatého;
bis(fosforečnan) trihořečnatý oktahydrát;
oktahydrát fosforečnanu trikobaltnatého;Co3(PO4)2.8H2O
oktahydrát tetraoxofosforečnanu kobaltnatého;
oktahydrát tetraoxofosforečnanu trikobaltnatého;
bis(fosforečnan) trikobaltnatý oktahydrát;
oktahydrát fosforečnanu trinikelnatého;Ni3(PO4)2.8H2O
oktahydrát tetraoxofosforečnanu nikelnatého;
oktahydrát tetraoxofosforečnanu trinikelnatého;
bis(fosforečnan) trinikelnatý oktahydrát;
oktahydrát fosforečnanu triželeznatého;Fe3(PO4)2.8H2O
oktahydrát tetraoxofosforečnanu železnatého;
oktahydrát tetraoxofosforečnanu triželeznatého;
bis(fosforečnan) triželeznatý oktahydrát;
oktahydrát selenanu gadolinitého;Gd2(SeO4)3.8H2O
oktahydrát selenanu digadolinitého;
oktahydrát tetraoxoselenanu gadolinitého;
oktahydrát tetraoxoselenanu digadolinitého;
tris(selenan) gadolinitý oktahydrát;
tris(selenan) digadolinitý oktahydrát;
oktahydrát selenanu ytterbitého;Yb2(SeO4)3.8H2O
oktahydrát selenanu diytterbitého;
oktahydrát tetraoxoselenanu ytterbitého;
oktahydrát tetraoxoselenanu diytterbitého;
tris(selenan) ytterbitý oktahydrát;
tris(selenan) diytterbitý oktahydrát;
oktahydrát síranu ceritého;Ce2(SO4)3.8H2O
oktahydrát síranu diceritého;
oktahydrát tetraoxosíranu ceritého;
oktahydrát tetraoxosíranu diceritého;
tris(síran) ceritý oktahydrát;
tris(síran) diceritý oktahydrát;
oktahydrát síranu dysprositého;Dy2(SO4)3.8H2O
oktahydrát síranu didysprositého;
oktahydrát tetraoxosíranu dysprositého;
oktahydrát tetraoxosíranu didysprositého;
tris(síran) dysprositý oktahydrát;
tris(síran) didysprositý oktahydrát;
oktahydrát síranu erbitého;Er2(SO4)3.8H2O
oktahydrát síranu dierbitého;
oktahydrát tetraoxosíranu erbitého;
oktahydrát tetraoxosíranu dierbitého;
tris(síran) erbitý oktahydrát;
tris(síran) dierbitý oktahydrát;
oktahydrát síranu europitého;Eu2(SO4)3.8H2O
oktahydrát síranu dieuropitého;
oktahydrát tetraoxosíranu europitého;
oktahydrát tetraoxosíranu dieuropitého;
tris(síran) europitý oktahydrát;
tris(síran) dieuropitý oktahydrát;
oktahydrát síranu gadolinitého;Gd2(SO4)3.8H2O
oktahydrát síranu digadolinitého;
oktahydrát tetraoxosíranu gadolinitého;
oktahydrát tetraoxosíranu digadolinitého;
tris(síran) gadolinitý oktahydrát;
tris(síran) digadolinitý oktahydrát;
oktahydrát síranu holmitého;Ho2(SO4)3.8H2O
oktahydrát síranu diholmitého;
oktahydrát tetraoxosíranu holmitého;
oktahydrát tetraoxosíranu diholmitého;
tris(síran) holmitý oktahydrát;
tris(síran) diholmitý oktahydrát;
oktahydrát síranu lutecitého;Lu2(SO4)3.8H2O
oktahydrát síranu dilutecitého;
oktahydrát tetraoxosíranu lutecitého;
oktahydrát tetraoxosíranu dilutecitého;
tris(síran) lutecitý oktahydrát;
tris(síran) dilutecitý oktahydrát;
oktahydrát síranu neodymitého;Nd2(SO4)3.8H2O
oktahydrát síranu dineodymitého;
oktahydrát tetraoxosíranu neodymitého;
oktahydrát tetraoxosíranu dineodymitého;
tris(síran) neodymitý oktahydrát;
tris(síran) dineodymitý oktahydrát;
oktahydrát síranu praseodymitého;Pr2(SO4)3.8H2O
oktahydrát síranu dipraseodymitého;
oktahydrát tetraoxosíranu praseodymitého;
oktahydrát tetraoxosíranu dipraseodymitého;
tris(síran) praseodymitý oktahydrát;
tris(síran) dipraseodymitý oktahydrát;
oktahydrát síranu samaritého;Sm2(SO4)3.8H2O
oktahydrát síranu disamaritého;
oktahydrát tetraoxosíranu samaritého;
oktahydrát tetraoxosíranu disamaritého;
tris(síran) samaritý oktahydrát;
tris(síran) disamaritý oktahydrát;
oktahydrát síranu terbitého;Tb2(SO4)3.8H2O
oktahydrát síranu diterbitého;
oktahydrát tetraoxosíranu terbitého;
oktahydrát tetraoxosíranu diterbitého;
tris(síran) terbitý oktahydrát;
tris(síran) diterbitý oktahydrát;
oktahydrát síranu thoričitého;Th(SO4)2.8H2O
oktahydrát tetraoxosíranu thoričitého;
bis(síran) thoričitý oktahydrát;
oktahydrát síranu ytterbitého;Yb2(SO4)3.8H2O
oktahydrát síranu diytterbitého;
oktahydrát tetraoxosíranu ytterbitého;
oktahydrát tetraoxosíranu diytterbitého;
tris(síran) ytterbitý oktahydrát;
tris(síran) diytterbitý oktahydrát;
oktahydrát síranu yttritého;Y2(SO4)3.8H2O
oktahydrát síranu diyttritého;
oktahydrát tetraoxosíranu yttritého;
oktahydrát tetraoxosíranu diyttritého;
tris(síran) yttritý oktahydrát;
tris(síran) diyttritý oktahydrát;
oktahydrát uhličitanu lanthanitého;La2(CO3)3.8H2O
oktahydrát uhličitanu dilanthanitého;
oktahydrát trioxouhličitanu lanthanitého;
oktahydrát trioxouhličitanu dilanthanitého;
tris(uhličitan) lanthanitý oktahydrát;
tris(uhličitan) dilanthanitý oktahydrát;
oktahydrát uhličitanu praseodymitého;Pr2(CO3)3.8H2O
oktahydrát uhličitanu dipraseodymitého;
oktahydrát trioxouhličitanu praseodymitého;
oktahydrát trioxouhličitanu dipraseodymitého;
tris(uhličitan) praseodymitý oktahydrát;
tris(uhličitan) dipraseodymitý oktahydrát;
oktahydrát xenoničelanu tetrasodného;Na4XeO6.8H2O
oktahydrát hexaoxoxenoničelanu sodného;
oktahydrát hexaoxoxenoničelanu tetrasodného;
oktakarbonyldikobalt;Co2(CO)8
oktaoxid diantimonito-diantimoničný;Sb4O8
;Sb2O3.Sb2O5
oktaoxid pentamanganu;Mn5O8
oktaoxid trineptunia;Np3O8
oktaoxid triuranu;U3O8
olovičitan sodný;Na2PbO3
olovičitan disodný;
trioxoolovičitan sodný;
trioxoolovičitan disodný;
olovičitan vápenatý;CaPbO3
trioxoolovičitan vápenatý;
olovo;Pb
osmium;Os
oxid aktinitý;Ac2O3
oxid americičitý;AmO2
oxid americitý;Am2O3
oxid americnatý;AmO
oxid antimoničný;Sb2O5
oxid antimonitý;Sb2O3
;Sb4O6
oxid arseničný;As2O5
;As4O10
oxid arsenitý;As2O3
;As4O6
oxid barnatý;BaO
oxid berkeličitý;BkO2
oxid berkelitý;Bk2O3
oxid beryllnatý;BeO
oxid bismutičný;Bi2O5
oxid bismutitý;Bi2O3
oxid bismutnatý;BiO
oxid boritý;B2O3
oxid bromný;Br2O
oxid ceričitý;CeO2
oxid ceritý;Ce2O3
oxid cesný;Cs2O
oxid cínatý;SnO
oxid cíničitý;SnO2
oxid curičitý;CmO2
oxid curitý;Cm2O3
oxid draselný;K2O
oxid dusičitý;NO2
;N2O4
oxid dusičný;N2O5
oxid dusitý;N2O3
oxid dusnatý;NO
oxid dusný;N2O
azooxid;
oxid erbitý;Er2O3
oxid europitý;Eu2O3
oxid fosforečný;P2O5
;P4O10
oxid fosforičitý;PO2
oxid fosforitý;P2O3
;P4O6
oxid gadolinitý;Gd2O3
oxid gallitý;Ga2O3
oxid gallný;Ga2O
oxid germaničitý;GeO2
oxid hafničitý;HfO2
oxid hlinitý;Al2O3
oxid holmitý;Ho2O3
oxid hořečnatý;MgO
oxid chloričitý;ClO2
oxid chloristý;Cl2O7
oxid chlorný;Cl2O
oxid chromičitý;CrO2
oxid chromitý;Cr2O3
oxid chromnatý;CrO
oxid chromový;CrO3
oxid inditý;In2O3
oxid indný;In2O
oxid iridičitý;IrO2
oxid jodičný;I2O5
oxid kademnatý;CdO
oxid kaliforničitý;CfO2
oxid kalifornitý;Cf2O3
oxid kobaltnatý;CoO
oxid křemičitý;SiO2
oxid lanthanitý;La2O3
oxid lithný;Li2O
oxid lutecitý;Lu2O3
oxid manganatý;MnO
oxid manganičitý;MnO2
oxid manganistý;Mn2O7
oxid manganitý;Mn2O3
oxid měďnatý;CuO
oxid měďný;Cu2O
oxid molybdeničitý;MoO2
oxid molybdenitý;Mo2O3
oxid molybdenový;MoO3
oxid neodymitý;Nd2O3
oxid neptunatý;NpO
oxid neptuničitý;NpO2
oxid neptuničný;Np2O5
oxid nikelnatý;NiO
oxid niobičitý;NbO2
oxid niobičný;Nb2O5
oxid niobitý;Nb2O3
oxid niobnatý;NbO
oxid olovičitý;PbO2
oxid olovnatý;PbO
oxid osmičelý;OsO4
oxid osmičitý;OsO2
oxid palladnatý;PdO
oxid platičitý;PtO2
oxid platnatý;PtO
oxid plutonatý;PuO
oxid plutoničitý;PuO2
oxid plutonitý;Pu2O3
oxid praseodymičitý;XII.02
oxid praseodymitý;Pr2O3
oxid protaktiničitý;PaO2
oxid protaktiničný;Pa2O5
oxid rheničitý;ReO2
oxid rheniový;ReO3
oxid rhenistý;Re2O7
oxid rhodičitý;RhO2
oxid rhoditý;Rh2O3
oxid rtuťnatý;HgO
oxid rtuťný;Hg2O
oxid rubidný;Rb2O
oxid rutheničelý;RuO4
oxid rutheničitý;RuO2
oxid samaritý;Sm2O3
oxid seleničitý;SeO2
oxid selenový;SeO3
oxid sírový;SO3
oxid siřičitý;SO2
oxid skanditý;Sc2O3
oxid sodný;Na2O
oxid strontnatý;SrO
oxid stříbrnatý;AgO
oxid stříbrno-draselný;AgKO
oxid stříbrný;Ag2O
oxid stříbřitý;Ag2O3
oxid tantaličitý;TaO2
oxid tantaličný;Ta2O5
oxid telluričitý;TeO2
oxid tellurový;TeO3
oxid terbitý;Tb2O3
oxid thallitý;Tl2O3
oxid thallný;Tl2O
oxid thoričitý;ThO2
oxid thulitý;Tm2O3
oxid titanatý;TiO
oxid titaničitý;TiO2
oxid titanitý;Ti2O3
oxid uhelnatý;CO
oxid uhličitý;CO2
oxid uraničitý;UO2
oxid uranový;UO3
oxid vanadičitý;VO2
oxid vanadičný;V2O5
oxid vanaditý;V2O3
oxid vanadnatý;VO
oxid vápenatý;CaO
oxid wolframičitý;WO2
oxid wolframičný;W2O5
oxid wolframový;WO3
oxid xenonový;XeO3
oxid ytterbitý;Yb2O3
oxid yttritý;Y2O3
oxid zinečnatý;ZnO
oxid zirkoničitý;ZrO2
oxid zlatitý;Au2O3
oxid železitý;Fe2O3
oxid železnatý;FeO
oxid-dihydroxid vanadičitý;VO(OH)2
oxid-hydroxid dysprositý;DyO(OH)
oxid-hydroxid erbitý;ErO(OH)
oxid-hydroxid europitý;EuO(OH)
oxid-hydroxid gadolinitý;GdO(OH)
oxid-hydroxid holmitý;HoO(OH)
oxid-hydroxid lanthanitý;LaO(OH)
oxid-hydroxid lutecitý;LuO(OH)
oxid-hydroxid manganitý;MnO(OH)
oxid-hydroxid neodymitý;NdO(OH)
oxid-hydroxid praseodymitý;PrO(OH)
oxid-hydroxid samaritý;SmO(OH)
oxid-hydroxid skanditý;ScO(OH)
oxid-hydroxid terbitý;TbO(OH)
oxid-hydroxid thulitý;TmO(OH)
oxid-hydroxid ytterbitý;YbO(OH)
oxid-hydroxid yttritý;YO(OH)
oxid-selenid uhličitý;COSe
oxid-sulfid plutoničitý;PuOS
oxid-sulfid thoričitý;ThOS
oxid-sulfid uhličitý;COS
oxid-sulfid zirkoničitý;ZrOS
ozonid sodný;NaO3
palladium;Pd
pentaboran;B5H6
pentahydrát dusičnanu bismutitého;Bi(NO3)3.5H2O
pentahydrát trioxodusičnanu bismutitého;
tris(dusičnan) bismutitý pentahydrát;
pentahydrát dusičnanu erbitého;Er(NO3)3.5H2O
pentahydrát trioxodusičnanu erbitého;
tris(dusičnan) erbitý pentahydrát;
pentahydrát dusičnanu holmitého;Ho(NO3)3.5H2O
pentahydrát trioxodusičnanu holmitého;
tris(dusičnan) holmitý pentahydrát;
pentahydrát dusičnanu lutecitého;Lu(NO3)3.5H2O
pentahydrát trioxodusičnanu lutecitého;
tris(dusičnan) lutecitý pentahydrát;
pentahydrát dusičnanu thulitého;Tm(NO3)3.5H2O
pentahydrát trioxodusičnanu thulitého;
tris(dusičnan) thulitý pentahydrát;
pentahydrát dusičnanu ytterbitého;Yb(NO3)3.5H2O
pentahydrát trioxodusičnanu ytterbitého;
tris(dusičnan) ytterbitý pentahydrát;
pentahydrát dusičnanu zirkoničitého;Zr(NO3)4.5H2O
pentahydrát trioxodusičnanu zirkoničitého;
tetrakis(dusičnan) zirkoničitý pentahydrát;
pentahydrát fosforečnanu dysprositého;DyPO4.5H2O
pentahydrát tetraoxofosforečnanu dysprositého;
pentahydrát chloridu platičitého;PtCl4.5H2O
pentahydrát chloridu platnatého;PtCl2.5H2O
pentahydrát chlornanu sodného;NaClO.5H2O
pentahydrát jodičnanu sodného;NaIO3.5H2O
pentahydrát trioxojodičnanu sodného;
pentahydrát selenanu měďnatého;CuSeO4.5H2O
pentahydrát tetraoxoselenanu měďnatého;
pentahydrát selenanu zinečnatého;ZnSeO4.5H2O
pentahydrát tetraoxoselenanu zinečnatého;
pentahydrát síranu ceritého;Ce2(SO4)3.5H2O
pentahydrát síranu diceritého;
pentahydrát tetraoxosíranu ceritého;
pentahydrát tetraoxosíranu diceritého;
tris(síran) ceritý pentahydrát;
tris(síran) diceritý pentahydrát;
pentahydrát síranu hořečnatého;MgSO4.5H2O
pentahydrát tetraoxosíranu hořečnatého;
pentahydrát síranu manganatého;MnSO4.5H2O
pentahydrát tetraoxosíranu manganatého;
pentahydrát síranu měďnatého;CuSO4.5H2O
pentahydrát tetraoxosíranu měďnatého;
pentahydrát síranu skanditého;Sc2(SO4)3.5H2O
pentahydrát síranu diskanditého;
pentahydrát tetraoxosíranu skanditého;
pentahydrát tetraoxosíranu diskanditého;
tris(síran) skanditý pentahydrát;
tris(síran) diskanditý pentahydrát;
pentahydrát tetraboritanu sodného;Na2B4O7.5H2O
pentahydrát tetraboritanu disodného;
pentahydrát heptaoxotetraboritanu sodného;
pentahydrát heptaoxotetraboritanu disodného;
pentahydrát thiokyanatanu železitého;Fe(SCN)3.5H2O
pentahydrát thiosíranu sodného;Na2S2O3.5H2O
pentahydrát uhličitanu ceritého;Ce2(CO3)3.5H2O
pentahydrát uhličitanu diceritého;
pentahydrát trioxouhličitanu ceritého;
pentahydrát trioxouhličitanu diceritého;
tris(uhličitan) ceritý pentahydrát;
tris(uhličitan) diceritý pentahydrát;
pentahydrát uhličitanu hořečnatého;MgCO3.5H2O
pentahydrát trioxouhličitanu hořečnatého;
pentakarbonyl železa;Fe(CO)5
pentanitrid tritantalu;Ta3N5
pentasulfid diboru;B2S5
pentasulfid tetrafosforu;P4S5
pentathionan draselný;K2S5O6
peroxid barnatý;BaO2
peroxid cesný;Cs2O2
peroxid draselný;K2O2
peroxid rhenia;Re2O8
peroxid rtuťnatý;HgO2
peroxid rubidný;Rb2O2
peroxid sodný;Na2O2
peroxid stříbrný;Ag2O2
peroxid vápenatý;CaO2
peroxid vodíku;H2O2
peroxodisíran amonný;(NH4)2S2O8
peroxodisíran diamonný;
peroxodisíran cesný;Cs2S2O8
peroxodisíran dicesný;
peroxodisíran draselný;K2S2O8
peroxodisíran didraselný;
peroxochroman amonný;(NH4)2CrO5
peroxochroman diamonný;
peroxochroman draselný;K2CrO5
peroxochroman didraselný;
peroxochroman sodný;Na2CrO5
peroxochroman disodný;
platina;Pt
plumban;PbH4
plutonium;Pu
polonan;H2Po
polonium;Po
praseodym;Pr
promethium;Pm
protaktinium;Pa
radium;Ra
radon;Rn
rhenistan amonný;NH4ReO4
tetraoxorhenistan amonný;
rhenistan cesný;CsReO4
tetraoxorhenistan cesný;
rhenistan draselný;KReO4
tetraoxorhenistan draselný;
rhenistan sodný;NaReO4
tetraoxorhenistan sodný;
rhenistan stříbrný;AgReO4
tetraoxorhenistan stříbrný;
rhenium;Re
rhodium;Rh
rtuť;Hg
rubidium;Rb
ruthenistan draselný;KRuO4
tetraoxoruthenistan draselný;
ruthenium;Ru
rutherfordium;Rf
samarium;Sm
seaborgium;Sg
selan;H2Se
selenovodík;
selen;Se
selenan amonný;(NH4)2SeO4
selenan diamonný;
tetraoxoselenan amonný;
tetraoxoselenan diamonný;
selenan barnatý;BaSeO4
tetraoxoselenan barnatý;
selenan ceritý;Ce2(SeO4)3
selenan diceritý;
tetraoxoselenan ceritý;
tetraoxoselenan diceritý;
tris(selenan) ceritý;
tris(selenan) diceritý;
selenan cesný;Cs2SeO4
selenan dicesný;
tetraoxoselenan cesný;
tetraoxoselenan dicesný;
selenan draselný;K2SeO4
selenan didraselný;
tetraoxoselenan draselný;
tetraoxoselenan didraselný;
selenan olovnatý;PbSeO4
tetraoxoselenan olovnatý;
selenan praseodymitý;Pr2(SeO4)3
selenan dipraseodymitý;
tetraoxoselenan praseodymitý;
tetraoxoselenan dipraseodymitý;
tris(selenan) praseodymitý;
tris(selenan) dipraseodymitý;
selenan rtuťnatý;HgSeO4
tetraoxoselenan rtuťnatý;
selenan rtuťný;Hg2SeO4
selenan dirtuťný;
tetraoxoselenan rtuťný;
tetraoxoselenan dirtuťný;
selenan rubidno-olovnatý;Rb2Pb(SeO4)2
selenan rubidný;Rb2SeO4
selenan dirubidný;
tetraoxoselenan rubidný;
tetraoxoselenan dirubidný;
selenan stříbrný;Ag2SeO4
selenan distříbrný;
tetraoxoselenan stříbrný;
tetraoxoselenan distříbrný;
selenan thallný;Tl2SeO4
selenan dithallný;
tetraoxoselenan thallný;
tetraoxoselenan dithallný;
selenan vápenatý;CaSeO4
tetraoxoselenan vápenatý;
seleničitan olovnatý;PbSeO3
trioxoseleničitan olovnatý;
seleničitan stříbrný;Ag2SeO3
seleničitan distříbrný;
trioxoseleničitan stříbrný;
trioxoseleničitan distříbrný;
seleničitan zirkoničitý;Zr(SeO3)2
trioxoseleničitan zirkoničitý;
bis(seleničitan) zirkoničitý;
selenid barnatý;BaSe
selenid bismutitý;Bi2Se3
selenid bismutnatý;BiSe
selenid cínatý;SnSe
selenid draselný;K2Se
selenid gallitý;Ga2Se3
selenid hořečnatý;MgSe
selenid inditý;In2Se3
selenid kademnatý;CdSe
selenid manganu;MnSe
selenid měďnatý;CuSe
selenid měďný;Cu2Se
selenid nikelnatý;NiSe
selenid olovnatý;PbSe
